============================================================ PARSE TREE ======================================================================
lexeme                 lineno                 tokenName              valueIfNumber          parentNodeSymbol            isLeafNode(yes/no)     nodeSymbol            
----------------------------------------------------------------------------------------------------------------------------------------------
_readMarks             8                      TK_FUNID               ----                   <function>                  yes                    TK_FUNID              
----                   --                     ----                   ----                   <otherFunctions>            no                     <function>            
input                  8                      TK_INPUT               ----                   <input_par>                 yes                    TK_INPUT              
----                   --                     ----                   ----                   <function>                  no                     <input_par>           
parameter              8                      TK_PARAMETER           ----                   <input_par>                 yes                    TK_PARAMETER          
list                   8                      TK_LIST                ----                   <input_par>                 yes                    TK_LIST               
[                      8                      TK_SQL                 ----                   <input_par>                 yes                    TK_SQL                
int                    8                      TK_INT                 ----                   <primitiveDatatype>         yes                    TK_INT                
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <parameter_list>            no                     <dataType>            
----                   --                     ----                   ----                   <input_par>                 no                     <parameter_list>      
b7                     8                      TK_ID                  ----                   <parameter_list>            yes                    TK_ID                 
----                   --                     ----                   ----                   <parameter_list>            no                     <remaining_list>      
]                      8                      TK_SQR                 ----                   <input_par>                 yes                    TK_SQR                
output                 9                      TK_OUTPUT              ----                   <output_par>                yes                    TK_OUTPUT             
----                   --                     ----                   ----                   <function>                  no                     <output_par>          
parameter              9                      TK_PARAMETER           ----                   <output_par>                yes                    TK_PARAMETER          
list                   9                      TK_LIST                ----                   <output_par>                yes                    TK_LIST               
[                      9                      TK_SQL                 ----                   <output_par>                yes                    TK_SQL                
record                 9                      TK_RECORD              ----                   <constructedDatatype>       yes                    TK_RECORD             
----                   --                     ----                   ----                   <dataType>                  no                     <constructedDatatype> 
#marks                 9                      TK_RUID                ----                   <constructedDatatype>       yes                    TK_RUID               
----                   --                     ----                   ----                   <parameter_list>            no                     <dataType>            
----                   --                     ----                   ----                   <output_par>                no                     <parameter_list>      
b3c45                  9                      TK_ID                  ----                   <parameter_list>            yes                    TK_ID                 
----                   --                     ----                   ----                   <parameter_list>            no                     <remaining_list>      
]                      9                      TK_SQR                 ----                   <output_par>                yes                    TK_SQR                
;                      9                      TK_SEM                 ----                   <function>                  yes                    TK_SEM                
----                   --                     ----                   ----                   <stmts>                     no                     <typeDefinitions>     
----                   --                     ----                   ----                   <function>                  no                     <stmts>               
----                   --                     ----                   ----                   <stmts>                     no                     <declarations>        
read                   10                     TK_READ                ----                   <ioStmt>                    yes                    TK_READ               
----                   --                     ----                   ----                   <stmt>                      no                     <ioStmt>              
(                      10                     TK_OP                  ----                   <ioStmt>                    yes                    TK_OP                 
b3c45                  10                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
.                      10                     TK_DOT                 ----                   <oneExpansion>              yes                    TK_DOT                
----                   --                     ----                   ----                   <option_single_constructed> no                     <oneExpansion>        
maths                  10                     TK_FIELDID             ----                   <oneExpansion>              yes                    TK_FIELDID            
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <option_single_constructed> no                     <moreExpansions>      
----                   --                     ----                   ----                   <ioStmt>                    no                     <var>                 
)                      10                     TK_CL                  ----                   <ioStmt>                    yes                    TK_CL                 
;                      10                     TK_SEM                 ----                   <ioStmt>                    yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <stmts>                     no                     <otherStmts>          
read                   11                     TK_READ                ----                   <ioStmt>                    yes                    TK_READ               
----                   --                     ----                   ----                   <stmt>                      no                     <ioStmt>              
(                      11                     TK_OP                  ----                   <ioStmt>                    yes                    TK_OP                 
