============================================================ PARSE TREE ======================================================================
lexeme                 lineno                 tokenName              valueIfNumber          parentNodeSymbol            isLeafNode(yes/no)     nodeSymbol            
----------------------------------------------------------------------------------------------------------------------------------------------
_sumN                  4                      TK_FUNID               ----                   <function>                  yes                    TK_FUNID              
----                   --                     ----                   ----                   <otherFunctions>            no                     <function>            
input                  4                      TK_INPUT               ----                   <input_par>                 yes                    TK_INPUT              
----                   --                     ----                   ----                   <function>                  no                     <input_par>           
parameter              4                      TK_PARAMETER           ----                   <input_par>                 yes                    TK_PARAMETER          
list                   4                      TK_LIST                ----                   <input_par>                 yes                    TK_LIST               
[                      4                      TK_SQL                 ----                   <input_par>                 yes                    TK_SQL                
int                    4                      TK_INT                 ----                   <primitiveDatatype>         yes                    TK_INT                
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <parameter_list>            no                     <dataType>            
----                   --                     ----                   ----                   <input_par>                 no                     <parameter_list>      
d5cc34                 4                      TK_ID                  ----                   <parameter_list>            yes                    TK_ID                 
----                   --                     ----                   ----                   <parameter_list>            no                     <remaining_list>      
]                      4                      TK_SQR                 ----                   <input_par>                 yes                    TK_SQR                
output                 5                      TK_OUTPUT              ----                   <output_par>                yes                    TK_OUTPUT             
----                   --                     ----                   ----                   <function>                  no                     <output_par>          
parameter              5                      TK_PARAMETER           ----                   <output_par>                yes                    TK_PARAMETER          
list                   5                      TK_LIST                ----                   <output_par>                yes                    TK_LIST               
[                      5                      TK_SQL                 ----                   <output_par>                yes                    TK_SQL                
real                   5                      TK_REAL                ----                   <primitiveDatatype>         yes                    TK_REAL               
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <parameter_list>            no                     <dataType>            
----                   --                     ----                   ----                   <output_par>                no                     <parameter_list>      
d3                     5                      TK_ID                  ----                   <parameter_list>            yes                    TK_ID                 
----                   --                     ----                   ----                   <parameter_list>            no                     <remaining_list>      
]                      5                      TK_SQR                 ----                   <output_par>                yes                    TK_SQR                
;                      5                      TK_SEM                 ----                   <function>                  yes                    TK_SEM                
----                   --                     ----                   ----                   <stmts>                     no                     <typeDefinitions>     
----                   --                     ----                   ----                   <function>                  no                     <stmts>               
type                   6                      TK_TYPE                ----                   <declaration>               yes                    TK_TYPE               
----                   --                     ----                   ----                   <declarations>              no                     <declaration>         
int                    6                      TK_INT                 ----                   <primitiveDatatype>         yes                    TK_INT                
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <declaration>               no                     <dataType>            
:                      6                      TK_COLON               ----                   <declaration>               yes                    TK_COLON              
b5b567                 6                      TK_ID                  ----                   <declaration>               yes                    TK_ID                 
----                   --                     ----                   ----                   <declaration>               no                     <global_or_not>       
;                      6                      TK_SEM                 ----                   <declaration>               yes                    TK_SEM                
----                   --                     ----                   ----                   <stmts>                     no                     <declarations>        
----                   --                     ----                   ----                   <declarations>              no                     <declarations>        
b5b567                 7                      TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <assignmentStmt>            no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <stmt>                      no                     <assignmentStmt>      
<---                   7                      TK_ASSIGNOP            ----                   <assignmentStmt>            yes                    TK_ASSIGNOP           
----                   7                      TK_NUM                 1                      <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <assignmentStmt>            no                     <arithmeticExpression>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
;                      7                      TK_SEM                 ----                   <assignmentStmt>            yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <stmts>                     no                     <otherStmts>          
d3                     8                      TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <assignmentStmt>            no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <stmt>                      no                     <assignmentStmt>      
<---                   8                      TK_ASSIGNOP            ----                   <assignmentStmt>            yes                    TK_ASSIGNOP           
----                   8                      TK_RNUM                0.00                   <var>                       yes                    TK_RNUM               
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <assignmentStmt>            no                     <arithmeticExpression>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
;                      8                      TK_SEM                 ----                   <assignmentStmt>            yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <otherStmts>                no                     <otherStmts>          
while                  9                      TK_WHILE               ----                   <iterativeStmt>             yes                    TK_WHILE              
----                   --                     ----                   ----                   <stmt>                      no                     <iterativeStmt>       
(                      9                      TK_OP                  ----                   <iterativeStmt>             yes                    TK_OP                 
b5b567                 9                      TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <booleanExpression>         no                     <var>                 
----                   --                     ----                   ----                   <iterativeStmt>             no                     <booleanExpression>   
<=                     9                      TK_LE                  ----                   <relationalOp>              yes                    TK_LE                 
----                   --                     ----                   ----                   <booleanExpression>         no                     <relationalOp>        
d5cc34                 9                      TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <booleanExpression>         no                     <var>                 
)                      9                      TK_CL                  ----                   <iterativeStmt>             yes                    TK_CL                 
read                   10                     TK_READ                ----                   <ioStmt>                    yes                    TK_READ               
----                   --                     ----                   ----                   <stmt>                      no                     <ioStmt>              
(                      10                     TK_OP                  ----                   <ioStmt>                    yes                    TK_OP                 
c3bd                   10                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <ioStmt>                    no                     <var>                 
